trans_date,cc_num,merchant,category,amt,gender,city_pop,age,job,hour,is_fraud
2020-12-15,3307523142157425,merchant_57,personal_care,180.55,M,98798,59,Nurse,14,0
2020-09-01,3770892667881403,merchant_110,food_dining,114.88,M,372150,74,Artist,9,0
2019-06-26,3765474929279389,merchant_142,health_fitness,93.78,M,319278,37,Artist,12,0
2019-07-04,7526172818267148,merchant_164,shopping_pos,9.93,F,512476,62,Engineer,18,0
2020-04-26,8581103130800965,merchant_51,kids_pets,18.99,M,566712,30,Engineer,8,0
2020-03-04,2455056562189394,merchant_200,health_fitness,147.14,F,424861,56,Manager,19,0
2020-07-17,9880857589543269,merchant_41,gas_transport,112.32,F,493699,24,Lawyer,21,0
2019-08-22,5091273390267934,merchant_81,health_fitness,65.91,M,574883,33,Doctor,13,0
2019-09-02,3581746166626731,merchant_166,travel,43.5,M,453003,33,Artist,9,0
2020-01-13,7036738461197204,merchant_120,misc_net,6.08,F,122802,48,Doctor,18,0
2019-04-23,4255327356351085,merchant_80,misc_net,19.5,M,756899,22,Manager,17,0
2020-07-31,5621157841076666,merchant_69,gas_transport,237.45,M,541593,41,Engineer,21,0
2019-06-15,6872605787893946,merchant_15,misc_net,345.15,F,49614,20,Manager,22,1
2020-12-21,3279357958465929,merchant_149,misc_net,8.61,F,502452,50,Analyst,19,0
2019-03-22,9032221792541596,merchant_95,food_dining,37.1,M,523679,39,Engineer,19,0
2019-12-09,3295812884467131,merchant_12,shopping_pos,2.29,F,157050,57,Artist,8,0
2019-11-04,2951200817456879,merchant_168,travel,12.67,F,365514,55,Driver,21,0
2020-02-02,1212431959095696,merchant_47,shopping_net,8.91,M,210159,49,Teacher,20,0
2019-09-23,8703982115051320,merchant_148,entertainment,12.83,F,500702,74,Clerk,16,0
2019-01-22,5884870231878932,merchant_200,entertainment,27.54,M,744209,41,Nurse,15,0
2019-11-30,8089529045380100,merchant_35,entertainment,12.1,F,112543,30,Lawyer,15,0
2020-09-06,1042432251172263,merchant_70,grocery_pos,33.18,F,381740,69,Artist,15,0
2020-01-14,8240494381882381,merchant_4,shopping_net,153.83,M,12947,29,Analyst,22,1
2019-11-19,9796932701502235,merchant_183,grocery_pos,16.81,M,458362,56,Chef,21,0
2020-12-24,3052846453336225,merchant_141,shopping_net,77.51,M,781520,21,Doctor,14,0
2019-09-19,6366404384320788,merchant_193,health_fitness,535.7,M,665101,35,Chef,18,0
2020-01-29,5740316378000940,merchant_27,grocery_pos,29.67,F,561925,37,Manager,21,0
2019-07-25,2911993067483689,merchant_141,shopping_pos,37.13,F,90091,26,Artist,20,0
2020-03-27,4395985529519590,merchant_159,grocery_pos,23.54,M,590231,30,Driver,13,0
2020-05-15,3889734052468039,merchant_27,shopping_pos,7.96,M,346481,41,Chef,21,0
2020-04-12,1623937931823222,merchant_123,food_dining,294.06,M,322035,58,Lawyer,19,0
2019-02-03,3265858550807522,merchant_63,shopping_net,21.33,F,159432,68,Artist,10,0
2020-06-23,4731310357667953,merchant_37,grocery_pos,5.79,F,153036,74,Farmer,20,0
2019-06-17,9628852953933970,merchant_167,grocery_pos,49.18,M,164678,58,Artist,12,0
2020-10-02,3910175799905028,merchant_70,food_dining,77.78,F,395924,47,Lawyer,13,0
2020-06-16,1389647695899134,merchant_16,entertainment,52.22,M,232823,35,Artist,16,0
2020-09-19,7260222555919732,merchant_70,food_dining,48.26,F,180921,72,Manager,17,0
2020-07-15,5426415773482592,merchant_143,misc_net,14.08,M,422307,19,Manager,15,0
2019-01-31,1352911860525576,merchant_162,entertainment,364.64,F,549864,21,Manager,17,0
2020-06-30,7723485999608395,merchant_95,food_dining,123.4,M,47318,65,Doctor,9,0
2020-06-27,7034425199554782,merchant_189,entertainment,29.42,M,772218,20,Nurse,16,0
2020-03-23,8495961119178379,merchant_58,kids_pets,15.96,M,185281,61,Chef,9,0
2020-12-12,1288507669723470,merchant_89,kids_pets,45.5,M,505483,19,Manager,15,0
2019-04-05,3042351424893877,merchant_59,travel,14.25,F,163469,38,Farmer,16,0
2020-12-20,9894660238040663,merchant_65,shopping_net,33.19,F,606410,38,Nurse,13,0
2019-04-25,6251093810172365,merchant_91,health_fitness,43.82,F,518264,60,Analyst,12,0
2020-05-02,6881589112329369,merchant_155,misc_pos,16.81,F,146783,48,Driver,14,0
2020-01-30,8889341135360624,merchant_89,misc_net,33.32,F,334185,39,Artist,14,0
2020-05-25,5631401534730635,merchant_5,gas_transport,20.51,M,443584,24,Chef,17,0
2019-01-17,7322761736604554,merchant_56,grocery_pos,27.72,F,599,72,Clerk,21,0
2019-01-08,1819009116073763,merchant_101,grocery_pos,26.67,M,157476,34,Lawyer,19,0
2020-03-01,9357644147373731,merchant_143,home,14.63,M,31989,64,Analyst,19,0
2020-09-02,1101015991642145,merchant_23,food_dining,17.86,F,66770,52,Lawyer,10,0
2020-05-16,4867585532829630,merchant_105,grocery_pos,11.32,M,259148,20,Engineer,8,0
2020-11-26,3243631150618315,merchant_139,grocery_pos,10.06,F,391824,28,Analyst,8,0
2019-08-08,4810319696015978,merchant_196,food_dining,7.27,M,786589,50,Chef,17,0
2020-09-07,1117786398111911,merchant_132,shopping_net,4.31,F,245942,32,Teacher,8,0
2020-02-19,6070542977998614,merchant_50,entertainment,5.21,M,326703,43,Farmer,11,0
2020-11-09,3005365231125494,merchant_102,gas_transport,51.99,F,616914,74,Analyst,13,0
2020-03-28,9011617184621893,merchant_100,grocery_pos,100.38,M,396411,63,Manager,8,0
2020-08-21,6823919464543544,merchant_22,shopping_pos,3.62,M,693257,63,Driver,19,0
2020-03-23,2595438755958495,merchant_31,grocery_pos,62.9,M,149776,28,Lawyer,9,0
2020-09-24,5643106937925361,merchant_107,misc_pos,131.62,F,390990,59,Chef,20,0
2019-09-07,1488885255178243,merchant_62,misc_pos,61.08,F,318039,40,Analyst,18,0
2020-08-04,3231314022502666,merchant_136,gas_transport,102.12,M,710502,45,Nurse,12,0
2020-06-03,8901057305436274,merchant_178,misc_net,23.99,M,692687,64,Analyst,20,0
2020-08-26,3423705279646028,merchant_114,grocery_pos,46.95,F,493631,63,Engineer,10,0
2019-03-27,4965094578919421,merchant_81,personal_care,12.0,F,69286,41,Lawyer,10,0
2019-02-18,7590184081983382,merchant_182,kids_pets,33.39,F,494934,70,Driver,9,0
2019-07-03,1547860342190511,merchant_158,food_dining,5.84,F,49420,28,Lawyer,11,0
2020-01-29,9403813336679550,merchant_84,shopping_net,8.78,F,795935,66,Teacher,9,0
2020-03-27,7518838457656427,merchant_49,misc_pos,22.62,F,177414,62,Engineer,20,0
2019-12-07,2190276782779467,merchant_142,food_dining,7.91,M,561562,41,Nurse,17,0
2020-12-22,4135335572604318,merchant_53,gas_transport,35.88,F,348626,24,Lawyer,18,0
2019-07-12,4260325434647239,merchant_192,misc_net,23.8,F,771596,49,Analyst,20,0
2020-06-11,1019225023327035,merchant_53,health_fitness,59.66,F,601506,29,Analyst,8,0
2020-11-19,3185507596153237,merchant_76,personal_care,12.45,F,258506,48,Manager,14,0
2020-01-27,9965127683573655,merchant_129,food_dining,35.36,F,41116,73,Engineer,17,0
2020-03-31,1461862210648791,merchant_34,entertainment,6.47,F,46644,60,Clerk,10,0
2019-04-02,4949568771161430,merchant_66,food_dining,16.56,F,517124,25,Farmer,18,0
2020-06-02,3241199702520318,merchant_6,shopping_net,325.69,F,204149,58,Manager,19,0
2020-04-10,7495071187409219,merchant_83,food_dining,650.09,F,732142,44,Clerk,12,0
2020-03-04,6561492772770437,merchant_56,gas_transport,85.84,M,667444,53,Clerk,17,0
2019-12-22,6089014827213944,merchant_6,food_dining,40.46,F,189348,45,Nurse,16,0
2019-01-13,8410304278155218,merchant_101,entertainment,69.53,M,710014,33,Clerk,15,0
2019-08-28,1048962187663277,merchant_75,grocery_pos,133.5,F,509720,34,Manager,15,0
2020-02-01,5843758289000222,merchant_58,gas_transport,31.22,M,147459,36,Doctor,8,0
2020-01-25,4536962481547951,merchant_94,kids_pets,4.87,F,215590,66,Driver,20,0
2019-08-28,4178191253709396,merchant_64,shopping_pos,99.53,F,658551,56,Analyst,18,0
2019-04-04,6694442691550700,merchant_61,shopping_pos,47.31,M,584308,43,Farmer,10,0
2020-05-09,5445362960655594,merchant_42,misc_net,183.06,M,112705,35,Farmer,18,0
2020-12-26,4034151389142156,merchant_81,misc_net,15.83,M,230482,73,Farmer,8,0
2019-07-10,3616875540128488,merchant_25,food_dining,87.27,M,533922,67,Chef,19,0
2020-05-19,6521022520818765,merchant_118,travel,10.49,M,233290,57,Driver,21,0
2020-07-10,9092265267938248,merchant_63,grocery_pos,37.08,F,793604,46,Teacher,10,0
2019-06-01,7752129998021797,merchant_33,misc_net,20.45,F,62772,24,Manager,12,0
2020-08-23,4087224043972125,merchant_103,grocery_pos,29.72,F,347988,43,Clerk,15,0
2020-10-23,1567761236279403,merchant_64,personal_care,32.51,M,9544,32,Doctor,13,0
2020-03-03,1562117592318791,merchant_165,gas_transport,6.7,F,723120,44,Doctor,9,0
2019-01-02,7834670791350779,merchant_195,misc_pos,136.94,M,416522,20,Artist,21,0
2019-09-19,3681925291682035,merchant_182,food_dining,10.25,F,79099,31,Manager,18,0
2020-02-07,8854825579808152,merchant_127,food_dining,16.69,F,449421,49,Lawyer,15,0
2020-05-22,7470842444142155,merchant_112,gas_transport,147.27,M,49771,27,Analyst,9,0
2020-11-13,6273423288768969,merchant_175,grocery_pos,17.3,M,95590,30,Teacher,21,0
2020-11-07,9395670467847681,merchant_42,health_fitness,7.35,F,341701,71,Nurse,16,0
2019-12-16,6888854069148896,merchant_152,entertainment,391.05,M,353399,52,Manager,18,0
2019-10-01,4654766912030091,merchant_45,travel,25.68,F,41882,50,Manager,20,0
2020-05-09,9519707332098355,merchant_140,food_dining,26.79,M,110649,74,Analyst,9,0
2019-11-05,7859966576318291,merchant_102,food_dining,6.3,F,93972,47,Driver,12,0
2020-10-20,7066566751183241,merchant_4,food_dining,23.1,F,41967,22,Doctor,12,0
2020-01-12,2040351677459263,merchant_93,personal_care,328.68,F,524129,41,Manager,14,0
2019-03-06,8076134597433998,merchant_105,shopping_net,11.9,F,122904,72,Chef,18,0
2020-01-02,2128295311505354,merchant_129,home,42.43,M,544585,34,Clerk,17,0
2020-10-29,8523030626081213,merchant_20,personal_care,13.77,F,522732,39,Engineer,12,0
2019-07-13,5269992086426312,merchant_188,misc_net,69.09,M,578903,23,Artist,21,0
2020-08-27,4117011457471533,merchant_63,grocery_pos,25.46,M,361147,22,Clerk,21,0
2020-07-23,1787390114844931,merchant_17,home,3.81,M,436345,32,Analyst,13,0
2019-01-24,8589049060222579,merchant_15,grocery_pos,19.81,M,654942,30,Doctor,10,0
2019-09-17,1297668340763918,merchant_56,kids_pets,307.6,F,275323,49,Analyst,17,0
2020-11-07,6853622919993523,merchant_177,shopping_pos,7.2,M,287211,39,Chef,19,0
2019-11-12,9252723671717091,merchant_171,food_dining,38.65,F,303408,55,Engineer,21,0
2019-08-15,8054135353703436,merchant_27,travel,547.41,M,47340,59,Driver,22,1
2020-11-09,2646615338478715,merchant_156,grocery_pos,78.73,M,300703,21,Clerk,17,0
2020-01-19,5730538770068184,merchant_189,personal_care,85.44,M,535022,69,Artist,18,0
2019-10-25,1214839523216833,merchant_112,food_dining,12.42,M,684683,18,Chef,14,0
2019-08-17,1040318567432184,merchant_86,shopping_pos,39.76,F,105767,36,Manager,10,0
2020-09-03,1454623479249793,merchant_120,food_dining,178.34,M,634306,36,Driver,12,0
2019-03-12,1936197134742783,merchant_16,shopping_net,62.93,M,494681,52,Teacher,17,0
2019-05-09,2843019288097580,merchant_5,personal_care,5.44,M,678534,53,Artist,18,0
2019-11-04,6627838266734725,merchant_132,entertainment,5.84,M,146493,53,Analyst,11,0
2019-04-14,6846225129653274,merchant_47,gas_transport,57.42,F,565491,48,Engineer,18,0
2019-03-13,8954452430546075,merchant_89,misc_net,14.17,F,544673,66,Nurse,14,0
2020-02-02,6347952144355917,merchant_144,shopping_net,76.97,M,759376,47,Lawyer,13,0
2019-04-17,6722534740926529,merchant_123,kids_pets,55.54,M,196611,69,Engineer,11,0
2019-08-09,4521905796494055,merchant_137,food_dining,324.54,M,785473,61,Analyst,16,0
2020-09-20,7803235562058279,merchant_25,kids_pets,70.12,F,763935,37,Chef,8,0
2020-07-13,5245641820999769,merchant_145,health_fitness,19.03,F,560896,24,Lawyer,8,0
2019-12-01,1910383937669254,merchant_55,grocery_pos,25.24,F,738528,49,Analyst,11,0
2020-06-10,7261800027538753,merchant_48,shopping_net,31.01,F,312382,71,Lawyer,17,0
2020-02-29,2472208477039545,merchant_162,health_fitness,55.37,F,71660,37,Driver,15,0
2019-03-07,1347313411208762,merchant_164,shopping_net,35.77,F,456245,53,Driver,15,0
2019-06-24,8296615456382217,merchant_178,shopping_pos,33.75,M,340495,48,Engineer,10,0
2019-02-02,6271859981168511,merchant_168,food_dining,20.28,F,531337,36,Engineer,8,0
2020-07-12,3204041937267355,merchant_196,food_dining,7.16,F,415754,37,Nurse,8,0
2019-08-11,5332442822289881,merchant_36,food_dining,4.89,F,321717,42,Engineer,10,0
2020-06-25,6464699063274950,merchant_195,food_dining,24.44,M,697594,55,Lawyer,20,0
2019-02-28,8955032278390564,merchant_136,grocery_pos,36.32,F,163801,19,Doctor,21,0
2019-07-14,1199827726580325,merchant_189,health_fitness,11.24,M,299195,38,Doctor,16,0
2019-12-27,2606386652710055,merchant_3,grocery_pos,77.7,F,493417,32,Lawyer,20,0
2019-09-17,9286399781412554,merchant_36,health_fitness,38.19,M,592169,42,Manager,17,0
2020-08-19,4660493692005712,merchant_183,health_fitness,51.29,M,61560,70,Engineer,15,0
2019-11-22,1215918383731902,merchant_11,gas_transport,13.85,M,406556,57,Engineer,16,0
2020-07-28,3462596749886783,merchant_89,health_fitness,31.01,M,254189,43,Teacher,15,0
2020-08-31,6771076384550680,merchant_104,personal_care,17.3,F,621967,58,Engineer,19,0
2020-04-20,6950303609926595,merchant_138,entertainment,165.08,F,684846,18,Nurse,19,0
2019-10-23,6507890086168776,merchant_147,shopping_net,18.39,M,799912,58,Engineer,17,0
2020-01-30,7788825065276656,merchant_73,food_dining,57.47,F,468197,32,Doctor,16,0
2020-03-13,1293122386086247,merchant_100,gas_transport,157.64,F,520127,20,Manager,16,0
2020-04-06,7698536131447957,merchant_164,health_fitness,60.47,M,461222,60,Clerk,11,0
2020-07-28,2250694449600484,merchant_158,entertainment,168.0,F,92721,26,Lawyer,12,0
2020-11-19,8335209283756303,merchant_168,home,242.14,F,556295,63,Driver,11,0
2020-08-23,6681227582473228,merchant_94,shopping_pos,71.28,F,453591,28,Manager,21,0
2020-09-10,9197403882319414,merchant_176,grocery_pos,9.74,F,558037,34,Teacher,15,0
2020-09-12,2903337183187734,merchant_80,food_dining,1.57,M,644721,67,Teacher,11,0
2019-06-22,8427761194704871,merchant_179,personal_care,8.0,M,125036,74,Farmer,10,0
2020-06-27,4519337268777847,merchant_4,entertainment,24.82,F,418554,70,Farmer,13,0
2020-08-10,6459908847905192,merchant_13,gas_transport,8.56,M,340870,26,Engineer,14,0
2019-01-04,4309713235896175,merchant_198,food_dining,9.03,F,674022,60,Teacher,18,0
2019-03-07,5746903371186787,merchant_6,shopping_net,678.57,M,15969,42,Engineer,2,1
2019-04-13,2884208917202533,merchant_101,travel,17.0,F,20022,39,Artist,21,0
2020-10-06,8897044213551743,merchant_170,grocery_pos,11.13,F,411149,30,Manager,12,0
2020-09-07,7276731078594329,merchant_63,misc_pos,78.89,F,507730,29,Manager,15,0
2020-07-09,3354311584394179,merchant_119,personal_care,25.24,M,524418,68,Lawyer,16,0
2019-03-16,4597295291336491,merchant_164,food_dining,629.4,F,763531,26,Farmer,16,0
2019-03-06,1703850808493307,merchant_5,gas_transport,8.4,F,655593,56,Farmer,9,0
2020-06-09,6986475674280511,merchant_192,misc_net,16.38,M,95974,51,Lawyer,20,0
2020-10-22,1948444714813390,merchant_112,grocery_pos,89.89,F,155246,53,Artist,11,0
2019-11-28,2503935116599916,merchant_97,misc_net,32.03,M,451710,44,Teacher,20,0
2019-11-09,6745602584864571,merchant_81,shopping_pos,28.44,M,768568,29,Engineer,13,0
2019-01-15,1224179230054728,merchant_91,travel,63.81,F,762592,18,Clerk,9,0
2020-06-29,4730095239819519,merchant_105,misc_net,158.07,M,688992,44,Clerk,20,0
2019-09-11,1321027436686964,merchant_156,kids_pets,178.4,M,680731,20,Clerk,10,0
2020-02-12,7526922234299941,merchant_171,grocery_pos,23.71,F,668526,48,Lawyer,17,0
2020-10-13,4806875047511577,merchant_200,personal_care,73.69,F,225704,33,Driver,16,0
2019-10-16,5373842441501367,merchant_150,shopping_net,31.31,M,742009,56,Chef,13,0
2020-10-30,6769416847531551,merchant_22,misc_pos,28.22,F,367466,45,Clerk,17,0
2020-08-29,7314389630023483,merchant_4,health_fitness,4.71,M,343984,66,Artist,9,0
2020-07-17,9050148168501521,merchant_119,grocery_pos,79.94,M,107304,67,Doctor,16,0
2020-08-16,1925346212913622,merchant_195,travel,10.24,M,248666,62,Lawyer,11,0
2019-10-25,6052813251207950,merchant_28,shopping_pos,185.15,F,423756,46,Clerk,8,0
2019-06-30,4354306412233784,merchant_104,food_dining,40.28,F,241858,62,Clerk,9,0
2020-06-25,6915596474686531,merchant_63,gas_transport,38.09,F,157352,34,Chef,19,0
2020-03-29,2357623562527441,merchant_86,grocery_pos,14.28,M,729708,34,Teacher,21,0
2020-07-29,9941843561876898,merchant_153,shopping_pos,95.48,F,752825,64,Teacher,8,0
2020-11-04,2560356926260578,merchant_149,misc_pos,3.51,M,175075,36,Clerk,9,0
2020-07-17,3476423062683279,merchant_162,gas_transport,17.58,F,146897,23,Manager,21,0
2020-03-17,9472858431926400,merchant_37,food_dining,6.13,F,385956,31,Farmer,14,0
2020-06-11,6682722041762557,merchant_1,entertainment,17.69,M,381606,21,Manager,14,0
2020-01-14,7095825623893734,merchant_75,grocery_pos,80.41,F,350539,40,Teacher,18,0
2019-01-09,4756922691212526,merchant_18,food_dining,66.63,M,129008,66,Chef,8,0
2020-01-15,4799885683594403,merchant_71,shopping_pos,18.51,F,401285,32,Manager,15,0
2020-02-01,7855860337862108,merchant_10,food_dining,29.36,M,734587,38,Engineer,19,0
2020-08-03,4265874794507571,merchant_92,gas_transport,16.46,F,612461,47,Teacher,8,0
2019-03-15,3666794723180910,merchant_37,health_fitness,39.4,F,83096,47,Clerk,15,0
2020-09-11,5091398099000798,merchant_38,grocery_pos,29.72,M,446174,23,Teacher,20,0
2019-07-12,3545342941666129,merchant_92,entertainment,134.39,F,425143,66,Doctor,14,0
2019-07-30,7434713957446285,merchant_98,kids_pets,23.01,F,442743,29,Nurse,16,0
2020-08-16,7161802426812823,merchant_48,kids_pets,31.37,M,636561,64,Doctor,15,0
2020-10-01,9531900558990415,merchant_128,grocery_pos,48.83,M,619337,40,Artist,13,0
2020-08-05,1214525775742885,merchant_151,entertainment,70.42,F,484271,19,Analyst,8,0
2020-01-30,8804692163327945,merchant_46,misc_pos,47.51,M,645616,38,Teacher,15,0
2019-01-15,1557128567408289,merchant_46,shopping_net,10.94,M,768517,43,Driver,12,0
2020-05-27,9450007241354931,merchant_25,travel,236.68,M,16368,45,Doctor,23,1
2019-12-26,7043137710319630,merchant_17,food_dining,32.49,F,537168,25,Nurse,21,0
2020-01-07,6026680926430760,merchant_84,misc_pos,65.21,F,86043,71,Manager,21,0
2019-01-21,6180666984660442,merchant_102,shopping_pos,26.58,M,340142,36,Chef,16,0
2019-03-27,3329412498020043,merchant_125,shopping_pos,6.49,F,424041,30,Manager,16,0
2019-12-23,7969783870829799,merchant_111,home,917.47,M,134922,20,Clerk,12,0
2020-11-07,6250046644751092,merchant_37,grocery_pos,15.15,M,422441,61,Driver,21,0
2019-08-15,6501216012772774,merchant_7,shopping_pos,19.08,M,681661,61,Doctor,8,0
2019-02-18,4426637789338078,merchant_50,grocery_pos,16.4,F,712734,58,Teacher,14,0
2020-10-03,4181295371636697,merchant_177,grocery_pos,62.32,M,236851,53,Farmer,12,0
2019-01-26,7686275920192290,merchant_168,kids_pets,9.68,F,463309,56,Chef,17,0
2019-10-18,7673741426048622,merchant_4,home,8.19,F,745206,41,Nurse,16,0
2019-06-21,9286642899249912,merchant_133,food_dining,12.0,M,638144,69,Farmer,14,0
2019-05-29,8523385134600396,merchant_129,food_dining,407.31,F,363327,60,Doctor,14,0
2019-06-08,4998767523763415,merchant_58,entertainment,20.96,F,749356,41,Driver,21,0
2019-08-07,2558031011289574,merchant_158,grocery_pos,130.8,F,413801,24,Farmer,11,0
2019-11-24,9564985519935676,merchant_74,shopping_net,23.49,M,36686,60,Artist,16,0
2019-03-24,5056626652331331,merchant_184,health_fitness,65.08,F,247514,38,Nurse,20,0
2020-06-23,1938187691759307,merchant_36,shopping_pos,31.21,F,490657,74,Nurse,15,0
2020-11-06,4659669147848221,merchant_133,grocery_pos,9.66,M,471047,68,Chef,13,0
2019-07-18,6132704304589670,merchant_162,misc_pos,39.37,M,465468,27,Lawyer,16,0
2019-04-07,1881977199484583,merchant_64,misc_pos,22.16,M,543575,63,Engineer,8,0
2019-01-07,5976951086788547,merchant_139,food_dining,10.63,M,792728,35,Manager,16,0
2019-07-03,1368053875783686,merchant_70,grocery_pos,319.6,F,47491,74,Driver,18,0
2020-05-08,9647816375863320,merchant_112,entertainment,36.26,F,630506,44,Clerk,15,0
2019-05-22,8277772660949735,merchant_29,grocery_pos,43.28,F,733693,19,Clerk,21,0
2020-04-25,1851163375449686,merchant_19,misc_net,100.0,F,21863,52,Engineer,23,1
2020-03-07,8202131104892962,merchant_1,travel,31.05,F,457003,65,Analyst,14,0
2020-07-21,5246230649506984,merchant_31,home,5.87,F,229823,41,Teacher,20,0
2020-01-22,1121937097007329,merchant_67,food_dining,39.38,M,223461,57,Driver,8,0
2020-04-11,3235146301472368,merchant_174,health_fitness,73.61,M,642908,46,Driver,8,0
2019-01-22,5695107219690425,merchant_94,home,25.78,M,735626,51,Driver,10,0
2020-11-09,4475588099874925,merchant_71,entertainment,47.58,M,513681,18,Engineer,20,0
2019-05-12,1439556963364881,merchant_184,kids_pets,33.45,M,387123,61,Doctor,11,0
2020-08-16,2352347148242781,merchant_60,gas_transport,19.27,F,671923,70,Chef,13,0
2019-06-21,5451727701942322,merchant_66,shopping_pos,30.85,M,727141,38,Engineer,17,0
2019-09-20,6158080918295371,merchant_56,grocery_pos,98.32,M,692171,57,Artist,21,0
2020-02-08,3682475734331015,merchant_62,shopping_pos,28.65,M,140499,74,Nurse,9,0
2019-04-30,7827849663350164,merchant_113,entertainment,14.41,M,94205,62,Lawyer,9,0
2019-09-21,5740588625556403,merchant_143,shopping_net,12.1,F,669999,43,Clerk,17,0
2019-05-12,4076489028790627,merchant_66,misc_pos,120.81,M,308735,29,Clerk,9,0
2019-08-04,3548455570244339,merchant_27,food_dining,19.03,F,451511,55,Driver,16,0
2020-09-20,9189063894570653,merchant_163,misc_net,31.31,F,522782,46,Manager,17,0
2020-10-08,3891999628053136,merchant_128,food_dining,5.3,F,435423,28,Teacher,9,0
2019-01-15,8911172290314346,merchant_49,shopping_net,77.02,F,611045,69,Manager,11,0
2020-07-07,8248349391265349,merchant_60,travel,45.75,M,736837,56,Engineer,9,0
2020-07-18,7002567347727661,merchant_33,food_dining,15.58,F,352608,37,Driver,20,0
2019-03-11,6455649198279085,merchant_123,gas_transport,19.2,F,784964,30,Chef,15,0
2019-07-04,9028382715117243,merchant_178,grocery_pos,29.0,F,539144,60,Lawyer,21,0
